phrasal,meaning_en,examples,tags,sense_uid,separable,intransitive
play at,to pretend,"[""The kids were playing at being doctors."",""He was just playing at working.""]","[""daily""]",play_at__pretend,false,false
play down,to minimize,"[""He played down the issue."",""She played down her role.""]","[""work"",""meetings""]",play_down__minimize,true,false
play up,to exaggerate,"[""The media played up the story."",""He played up his achievements.""]","[""work"",""daily""]",play_up__exaggerate,true,false
plug in,to connect a device,"[""Plug in the charger."", ""The monitor is not plugged in.""]","[""IT""]",plug_in__connect,true,false
point out,to indicate or mention something important,"[""She pointed out the mistake."", ""He pointed out that we need more tests.""]","[""work"", ""meetings""]",point_out__indicate,true,false
point to,to indicate,"[""The results point to a problem."",""He pointed to the error.""]","[""work"",""IT""]",point_to__indicate,false,false
polish off,to finish,"[""He polished off the cake."",""They polished off the project.""]","[""daily"",""work""]",polish_off__finish,true,false
polish up,to improve,"[""She polished up her English."",""He polished up his presentation.""]","[""work"",""career""]",polish_up__improve,true,false
pop in,to enter briefly,"[""He popped in to say hello."", ""I popped in during lunch.""]","[""daily"", ""smalltalk""]",pop_in__visit,false,false
pull ahead,to move in front,"[""The company pulled ahead of competitors."",""He pulled ahead in the race.""]","[""work"",""career""]",pull_ahead__lead,false,false
pull ahead of,to overtake,"[""She pulled ahead of the competition."",""He pulled ahead of schedule.""]","[""work"",""projects""]",pull_ahead_of__overtake,false,false
pull apart,to separate,"[""They pulled apart the components."",""He pulled the argument apart.""]","[""work"",""IT""]",pull_apart__separate,true,false
pull back,to retreat,"[""The army pulled back."",""He pulled back from the risky plan.""]","[""daily""]",pull_back__retreat,false,false
pull down,to demolish or earn,"[""They pulled down the old building."",""He pulled down a high salary.""]","[""work"",""daily""]",pull_down__demolish,true,false
pull for,to support,"[""We’re pulling for your success."",""She pulled for her friend.""]","[""daily""]",pull_for__support,false,false
pull in,to earn or arrest,"[""He pulls in a big salary."",""The police pulled in two suspects.""]","[""work"",""daily""]",pull_in__earn_arrest,true,false
pull off,to succeed,"[""He pulled off a big win."",""They pulled off the project successfully.""]","[""work"",""projects""]",pull_off__succeed,true,false
pull out,to withdraw,"[""The company pulled out of the deal."",""He pulled out at the last minute.""]","[""work"",""projects""]",pull_out__withdraw,true,false
pull out of,to withdraw,"[""They pulled out of the deal."",""He pulled out of the race.""]","[""work"",""projects""]",pull_out_of__withdraw,false,false
pull over,to stop by the side,"[""The car pulled over suddenly."",""He pulled over for the police.""]","[""daily""]",pull_over__stop,false,false
pull through,to recover / survive,"[""He pulled through surgery."",""The company pulled through the crisis.""]","[""work"",""daily""]",pull_through__recover,false,true
pull together,to cooperate,"[""We need to pull together as a team."",""They pulled together during the crisis.""]","[""work"",""projects""]",pull_together__cooperate,false,false
pull up,to stop (vehicle or person),"[""The car pulled up outside."",""He pulled up to the gate.""]","[""daily""]",pull_up__stop,false,false
pull up,"to display (data, info)","[""Can you pull up the logs?"",""She pulled up the document on screen.""]","[""IT"",""work""]",pull_up__display,true,false
pull up with,to tolerate,"[""I can’t pull up with his behavior."",""She won’t pull up with delays.""]","[""work"",""daily""]",pull_up_with__tolerate,false,false
push ahead with,to continue despite,"[""They pushed ahead with the project."",""She pushed ahead with her plan.""]","[""work"",""projects""]",push_ahead_with__continue,false,false
push back,to delay,"[""The deadline was pushed back."", ""They pushed back the meeting.""]","[""work"", ""projects""]",push_back__delay,true,false
push for,to demand,"[""They are pushing for higher wages."",""He pushed for a new feature.""]","[""work"",""projects""]",push_for__demand,false,false
push in,to interrupt or enter rudely,"[""He pushed in line."",""She pushed in during the conversation.""]","[""daily""]",push_in__interrupt,false,false
push on,to continue,"[""We pushed on despite fatigue."",""He pushed on with the journey.""]","[""daily""]",push_on__continue,false,false
push out,to expel,"[""They pushed out the competitor."",""He was pushed out of the club.""]","[""work"",""daily""]",push_out__expel,true,false
push over,to knock down,"[""The kids pushed over the fence."",""He pushed over the stack of boxes.""]","[""daily""]",push_over__knock,true,false
put across,to communicate clearly,"[""He put across his point well."",""She put across the message effectively.""]","[""work"",""meetings""]",put_across__communicate,true,false
put aside,to save or ignore,"[""Put aside money for later."",""She put aside her doubts.""]","[""work"",""daily""]",put_aside__save_ignore,true,false
put away,to tidy or imprison,"[""She put away the groceries."",""He was put away for 10 years.""]","[""daily""]",put_away__tidy,true,false
put back,to return,"[""He put back the book."",""She put the files back on the shelf.""]","[""work"",""daily""]",put_back__return,true,false
put down,to criticize or write,"[""He put down his opponent."",""She put down notes.""]","[""work"",""daily""]",put_down__criticize,true,false
put down for,to register,"[""He was put down for training."",""She put me down for the course.""]","[""work"",""career""]",put_down_for__register,true,false
put forward,to suggest,"[""She put forward a new idea."",""He put forward a solution.""]","[""work"",""meetings""]",put_forward__suggest,true,false
put in,to submit or install,"[""He put in his application."",""They put in a new system.""]","[""work"",""IT""]",put_in__submit,true,false
put off,to postpone,"[""Don't put off the meeting again."", ""He put off doing his homework.""]","[""work"", ""daily""]",put_off__postpone,true,false
put on,to dress or perform,"[""She put on a jacket."",""They put on a show.""]","[""daily""]",put_on__dress,true,false
put onto,to inform,"[""She put me onto a good idea."",""He put them onto the new method.""]","[""work"",""daily""]",put_onto__inform,true,false
put out,to extinguish (fire/light),"[""He put out the fire."",""They put out the candles.""]","[""daily""]",put_out__extinguish,true,false
put out,to publish / release,"[""The company put out a press release."",""They put out a new album.""]","[""work"",""projects""]",put_out__publish,true,false
put through,to connect or cause,"[""I’ll put you through to IT."",""They put him through training.""]","[""work"",""IT""]",put_through__connect,true,false
put through to,to connect,"[""I’ll put you through to support."",""She put me through to HR.""]","[""work"",""IT""]",put_through_to__connect,true,false
put together,to assemble,"[""They put together a proposal."",""He put together a new PC.""]","[""work"",""IT""]",put_together__assemble,true,false
put up,to provide or build,"[""They put up a new office."",""He put up with the workload.""]","[""work"",""projects""]",put_up__provide,true,false
put up to,to persuade to do something,"[""They put him up to the prank."",""She was put up to asking the question.""]","[""daily""]",put_up_to__persuade,false,false
put up with,to tolerate,"[""I can’t put up with these bugs."",""She put up with the delay.""]","[""work"",""daily""]",put_up_with__tolerate,false,false
put upon,to take advantage of,"[""She felt put upon by her colleagues."",""He was put upon to do extra work.""]","[""work"",""daily""]",put_upon__exploit,false,false
quest after,to seek,"[""He quested after knowledge."",""They quested after fame.""]","[""daily""]",quest_after__seek,false,false
quiet down,to become quieter,"[""The noise quieted down."",""The crowd quieted down after the speech.""]","[""daily""]",quiet_down__quieter,false,false
quiz on,to test knowledge,"[""The teacher quizzed us on grammar."",""He was quizzed on regulations.""]","[""work"",""career""]",quiz_on__test,false,false
rack up,to accumulate,"[""He racked up debts."",""She racked up experience in IT.""]","[""work"",""daily""]",rack_up__accumulate,true,false
rain down on,to fall heavily,"[""Bullets rained down on the city."",""Complaints rained down on the service.""]","[""daily""]",rain_down_on__fall,false,false
ramble on,to talk aimlessly,"[""He rambled on about his trip."",""She rambled on during the lecture.""]","[""work"",""daily""]",ramble_on__aimless,false,false
rat out,to betray,"[""He ratted out his partner."",""She ratted out the thief.""]","[""daily""]",rat_out__betray,false,false
reach out to,to contact,"[""She reached out to her mentor."",""He reached out to the client.""]","[""work"",""meetings""]",reach_out_to__contact,false,false
read into,to interpret more,"[""Don’t read into her words too much."",""He read into the statistics.""]","[""work"",""daily""]",read_into__interpret,false,false
read out,to read aloud,"[""She read out the announcement."",""He read out the list of names.""]","[""work"",""meetings""]",read_out__aloud,true,false
read over,to check carefully,"[""Read over the contract."",""He read over his notes.""]","[""work"",""projects""]",read_over__check,false,false
read up on,to research,"[""She read up on cloud computing."",""He read up on the topic.""]","[""work"",""IT""]",read_up_on__research,false,false
reason out,to logically conclude,"[""They reasoned out the problem."",""He reasoned out the cause.""]","[""work"",""projects""]",reason_out__conclude,false,false
reckon on,to expect,"[""We didn’t reckon on delays."",""He reckoned on her support.""]","[""work"",""projects""]",reckon_on__expect,false,false
reel off,to recite quickly,"[""He reeled off statistics."",""She reeled off the names.""]","[""work"",""daily""]",reel_off__recite,true,false
rely on,to depend,"[""She relies on her colleagues."",""We rely on stable systems.""]","[""work"",""daily""]",rely_on__depend,false,false
remark on,to comment,"[""She remarked on the progress."",""He remarked on her skills.""]","[""work"",""meetings""]",remark_on__comment,false,false
report back,to give feedback,"[""He reported back to the manager."",""She reported back after the mission.""]","[""work"",""projects""]",report_back__feedback,false,false
resort to,to use as a last option,"[""They resorted to violence."",""He resorted to restarting the server.""]","[""work"",""IT""]",resort_to__last_option,false,false
rest on,to depend on,"[""The argument rests on false data."",""Success rests on preparation.""]","[""work"",""projects""]",rest_on__depend,false,false
result in,to cause,"[""The error resulted in downtime."",""His actions resulted in success.""]","[""work"",""IT""]",result_in__cause,false,false
revert to,to return to,"[""They reverted to the old version."",""He reverted to his old habits.""]","[""work"",""IT""]",revert_to__return,false,false
ride out,to survive,"[""They rode out the crisis."",""He rode out the storm.""]","[""work"",""daily""]",ride_out__survive,false,false
ring off,to end a call,"[""She rang off after the conversation."",""He rang off quickly.""]","[""daily""]",ring_off__end_call,false,false
ring up,to telephone,"[""She rang up her friend."",""He rang up the office.""]","[""daily""]",ring_up__telephone,true,false
rise up against,to rebel,"[""The citizens rose up against injustice."",""They rose up against the government.""]","[""daily""]",rise_up_against__rebel,false,false
roll back,to reverse / revert to a previous state,"[""They rolled back the update."",""The admin rolled back the changes.""]","[""work"",""IT""]",roll_back__revert,false,false
roll out,to launch or introduce,"[""We rolled out the new version last week."", ""The product is being rolled out globally.""]","[""IT"", ""projects""]",roll_out__launch,false,false
roll over,to transfer or submit,"[""Vacation days rolled over."",""He rolled over the debt.""]","[""work"",""daily""]",roll_over__transfer,true,false
rope in,to persuade to help,"[""They roped him in for extra work."",""She was roped in to organize the event.""]","[""work"",""projects""]",rope_in__persuade,true,false
rough out,to draft roughly,"[""He roughed out the design."",""They roughed out a plan.""]","[""work"",""projects""]",rough_out__draft,true,false
rub in,to remind unkindly,"[""Stop rubbing it in."",""He rubbed in her mistake.""]","[""daily""]",rub_in__remind,true,false
rule out,to eliminate as an option,"[""We ruled out that solution."",""The doctor ruled out flu.""]","[""work"",""projects""]",rule_out__eliminate,true,false
run across,to find by chance,"[""I ran across an old friend."",""She ran across a useful article.""]","[""daily""]",run_across__chance,false,false
run after,to chase,"[""He ran after the bus."",""She ran after her dreams.""]","[""daily""]",run_after__chase,false,false
run against,to oppose,"[""He ran against her in the election."",""They ran against difficulties.""]","[""work"",""projects""]",run_against__oppose,false,false
run along,to leave,"[""It’s time for you to run along."",""The kids ran along to play.""]","[""daily""]",run_along__leave,false,false
run away,to escape,"[""He ran away from home."",""The thief ran away.""]","[""daily""]",run_away__escape,false,false
run away with,to steal or be carried away,"[""The thief ran away with the money."",""Her imagination ran away with her.""]","[""daily""]",run_away_with__steal,false,false
run by,to check with,"[""Run the idea by your manager."",""She ran the proposal by her team.""]","[""work"",""meetings""]",run_by__check,false,false
run down,to criticize,"[""He ran down the outdated system."",""She ran down his efforts.""]","[""work"",""daily""]",run_down__criticize,true,false
run down,to hit with a vehicle,"[""The car ran down a cyclist."",""He was nearly run down crossing the street.""]","[""daily""]",run_down__hit,false,false
run into,to encounter,"[""I ran into an old friend."",""We ran into some problems.""]","[""daily"",""work""]",run_into__encounter,false,false
run off,to leave quickly,"[""He ran off with her bag."",""She ran off after class.""]","[""daily""]",run_off__leave,false,false
run off with,to elope or steal,"[""He ran off with her purse."",""She ran off with her boyfriend.""]","[""daily""]",run_off_with__elope,false,false
run on,to continue,"[""The meeting ran on too long."",""Her explanation ran on for hours.""]","[""work"",""daily""]",run_on__continue,false,false
run out of,to exhaust a supply,"[""We ran out of memory."",""They ran out of paper.""]","[""IT"",""daily""]",run_out_of__exhaust,false,false
run out on,to abandon,"[""He ran out on his family."",""She ran out on her responsibilities.""]","[""daily""]",run_out_on__abandon,false,false
run over,to exceed time / review,"[""The meeting ran over time."",""Let's run over the checklist.""]","[""work"",""meetings""]",run_over__exceed,true,true
run through,to practice / rehearse,"[""Let's run through the demo again."",""She ran through her notes.""]","[""work"",""meetings""]",run_through__practice,true,false
run through,to quickly review,"[""Let's run through the checklist."",""She ran through the slides.""]","[""work"",""projects""]",run_through__review,true,false
run through,to use up resources,"[""We ran through all our savings."",""The program quickly ran through memory.""]","[""work"",""IT""]",run_through__use_up,false,false
run up,to accumulate,"[""They ran up debts."",""He ran up a huge phone bill.""]","[""work"",""daily""]",run_up__accumulate,false,false
run up against,to face problems,"[""We ran up against delays."",""He ran up against opposition.""]","[""work"",""projects""]",run_up_against__face,false,false
rush into,to do hastily,"[""They rushed into the deal."",""He rushed into answering.""]","[""work"",""projects""]",rush_into__hasty,false,false
rush out,to produce quickly,"[""They rushed out the update."",""The publisher rushed out the book.""]","[""work"",""IT""]",rush_out__produce,true,false
sail through,to succeed easily,"[""She sailed through the test."",""They sailed through the deployment.""]","[""work"",""career""]",sail_through__succeed,false,false
save up for,to save money,"[""She’s saving up for a laptop."",""He saved up for a vacation.""]","[""daily""]",save_up_for__money,false,false
scale down,to reduce capacity,"[""We scaled down instances to save costs."", ""They scaled down the project.""]","[""IT""]",scale_down__reduce,false,false
scale up,to increase capacity,"[""We scaled up the cluster."", ""The company scaled up operations.""]","[""IT""]",scale_up__increase,false,false
scare off,to frighten away,"[""The guard scared off the intruder."",""The high price scared off buyers.""]","[""daily""]",scare_off__frighten,true,false
scrape by,to barely manage,"[""They scraped by on low income."",""He scraped by with little sleep.""]","[""daily""]",scrape_by__manage,false,false
scratch out,to manage with effort,"[""He scratched out a living."",""She scratched out a victory.""]","[""daily""]",scratch_out__manage,false,false
screen out,to exclude,"[""The filter screens out spam."",""They screened out weak candidates.""]","[""work"",""IT""]",screen_out__exclude,true,false
see about,to arrange,"[""I’ll see about getting tickets."",""She saw about the repairs.""]","[""work"",""daily""]",see_about__arrange,false,false
see off,to say goodbye,"[""They saw him off at the airport."",""She saw off her guests.""]","[""daily""]",see_off__goodbye,true,false
see out,to finish,"[""He saw out his contract."",""She saw out the final semester.""]","[""work"",""projects""]",see_out__finish,true,false
see through,to realize truth,"[""She saw through his lies."",""He saw through the excuse.""]","[""work"",""daily""]",see_through__realize,false,false
see to,to handle,"[""She’ll see to the arrangements."",""He saw to the repairs.""]","[""work"",""projects""]",see_to__handle,false,false
sell off,to liquidate,"[""They sold off old equipment."",""The company sold off assets.""]","[""work"",""finance""]",sell_off__liquidate,true,false
sell out,to sell completely or betray,"[""The tickets sold out quickly."",""He sold out his friends.""]","[""daily""]",sell_out__sell,true,false
send away for,to order by mail,"[""She sent away for a catalog."",""He sent away for parts.""]","[""daily""]",send_away_for__order,false,false
send back,to return,"[""She sent back the package."",""He sent back the meal.""]","[""daily""]",send_back__return,true,false
send for,to request,"[""She sent for a doctor."",""He sent for help.""]","[""daily""]",send_for__request,false,false
send in,to submit,"[""He sent in his report."",""They sent in applications.""]","[""work"",""projects""]",send_in__submit,true,false
send off,to dispatch,"[""They sent off the documents."",""He sent off the email.""]","[""work"",""IT""]",send_off__dispatch,true,false
send out,to distribute,"[""They sent out invitations."",""The system sent out alerts.""]","[""work"",""IT""]",send_out__distribute,true,false
send up,to parody,"[""The show sent up politicians."",""He sent up the system errors.""]","[""daily""]",send_up__parody,true,false
set about,to begin / start doing,"[""They set about solving the issue."",""She set about cleaning the office.""]","[""work"",""projects""]",set_about__begin,false,false
set against,to oppose,"[""He set himself against the plan."",""They were set against change.""]","[""work"",""projects""]",set_against__oppose,false,false
set aside,to reserve time or resources,"[""Set aside time for this task."", ""He set aside money for a trip.""]","[""work"", ""daily""]",set_aside__reserve,true,false
set back,to delay progress,"[""The outage set us back."",""The illness set him back.""]","[""work"",""projects""]",set_back__delay,true,false
set down,to write / record,"[""She set down her thoughts."",""He set down notes during the lecture.""]","[""work"",""daily""]",set_down__write,true,false
set down,to land (plane/vehicle),"[""The plane set down safely."",""The helicopter set down in the field.""]","[""daily""]",set_down__land,false,false
set forth,to explain,"[""He set forth his ideas."",""The document sets forth the terms.""]","[""work"",""projects""]",set_forth__explain,false,false
set off,to start a journey or trigger,"[""They set off on a trip."",""The alarm was set off.""]","[""work"",""daily""]",set_off__trigger,true,false
set on,to attack,"[""The dog was set on the thief."",""He was set on by bullies.""]","[""daily""]",set_on__attack,false,false
set out,to start / begin,"[""He set out on his career."",""She set out early in the morning.""]","[""work"",""projects""]",set_out__start,false,false
set out,to arrange / present,"[""She set out the plan clearly."",""He set out the evidence.""]","[""work"",""projects""]",set_out__arrange,true,false
set up,to arrange or prepare something,"[""We need to set up a new database."", ""They set up a meeting for Monday.""]","[""work"", ""IT""]",set_up__arrange,true,false
set up with,to arrange or provide,"[""We set him up with access."",""They set her up with a mentor.""]","[""work"",""IT""]",set_up_with__arrange,false,false
set upon,to attack suddenly,"[""They were set upon by robbers."",""The plan was set upon immediately.""]","[""daily""]",set_upon__attack,false,false
settle down,to become calm or establish,"[""He settled down after moving."",""The class settled down quickly.""]","[""daily""]",settle_down__calm,false,false
settle for,to accept less,"[""He settled for a cheaper laptop."",""She settled for second place.""]","[""work"",""daily""]",settle_for__accept,false,false
settle in,to adapt,"[""She settled in at her new job."",""He settled in quickly.""]","[""work"",""daily""]",settle_in__adapt,false,false
settle on,to decide,"[""They settled on a new design."",""She settled on the blue dress.""]","[""work"",""projects""]",settle_on__decide,false,false
settle up,to pay debts,"[""They settled up after dinner."",""He settled up his account.""]","[""work"",""daily""]",settle_up__pay,false,false
shake off,to get rid of,"[""He shook off the flu."",""She shook off her doubts.""]","[""daily""]",shake_off__remove,true,false
shape up,to improve,"[""He needs to shape up at work."",""She shaped up before the exam.""]","[""work"",""daily""]",shape_up__improve,false,false
shine through,to be evident,"[""Her talent shines through."",""His effort shone through.""]","[""work"",""daily""]",shine_through__evident,false,false
shoot down,to reject,"[""They shot down the proposal."",""He shot down the idea quickly.""]","[""work"",""projects""]",shoot_down__reject,true,false
shoot for,to aim,"[""We’re shooting for success."",""She’s shooting for promotion.""]","[""work"",""career""]",shoot_for__aim,false,false
show around,to guide,"[""He showed us around the office."",""She showed her friends around town.""]","[""daily""]",show_around__guide,true,false
show off,to boast / display proudly,"[""He shows off his coding skills."",""She showed off her new phone.""]","[""work"",""daily""]",show_off__display,false,false
show up,to appear,"[""He showed up late."", ""She didn't show up at all.""]","[""daily"", ""smalltalk""]",show_up__appear,false,false
shrug off,to dismiss,"[""He shrugged off criticism."",""She shrugged off the problem.""]","[""work"",""daily""]",shrug_off__dismiss,true,false
shut away,to imprison,"[""He was shut away for years."",""She shut herself away to study.""]","[""daily""]",shut_away__imprison,true,false
shut down,to close / stop operation,"[""They shut down the server."",""The shop shut down last year.""]","[""IT"",""daily""]",shut_down__stop,false,false
shut in,to confine,"[""She was shut in all winter."",""He shut in his feelings.""]","[""daily""]",shut_in__confine,true,false
shut out,to exclude,"[""She shut out distractions."",""They shut him out of the meeting.""]","[""work"",""daily""]",shut_out__exclude,true,false
shut out of,to exclude,"[""He was shut out of the meeting."",""They shut her out of the decision.""]","[""work"",""projects""]",shut_out_of__exclude,false,false
shut up,to stop talking,"[""He told them to shut up."",""She shut up during the speech.""]","[""daily""]",shut_up__stop,false,false
side with,to support,"[""He sided with his colleague."",""She sided with management.""]","[""work"",""daily""]",side_with__support,false,false
sign away,to give up rights,"[""He signed away his property."",""She signed away her inheritance.""]","[""work"",""legal""]",sign_away__relinquish,true,false
sign in,to authenticate / register,"[""Sign in with Google."",""Please sign in at reception.""]","[""IT"",""work""]",sign_in__authenticate,false,false
sign off,to approve or end,"[""The manager signed off the request."",""She signed off with a smile.""]","[""work"",""projects""]",sign_off__approve,false,false
sign off on,to approve,"[""The manager signed off on the budget."",""She signed off on the changes.""]","[""work"",""projects""]",sign_off_on__approve,false,false
sign on,to agree or register,"[""He signed on for the new project."",""They signed on to the plan.""]","[""work"",""projects""]",sign_on__agree,false,false
sign on to,to agree or enroll,"[""He signed on to the project."",""She signed on to the class.""]","[""work"",""projects""]",sign_on_to__enroll,false,false
sign out,to exit / leave,"[""Sign out from all devices."",""Please sign out when you leave.""]","[""IT"",""daily""]",sign_out__exit,false,false
sign up,to register,"[""She signed up for the workshop."",""He signed up to the newsletter.""]","[""work"",""daily""]",sign_up__register,false,false
sign up for,to register,"[""She signed up for training."",""He signed up for the course.""]","[""work"",""career""]",sign_up_for__register,false,false
sit back,to relax or do nothing,"[""He sat back after finishing."",""They sat back and watched.""]","[""daily""]",sit_back__relax,false,false
sit in on,to attend as observer,"[""She sat in on the lecture."",""He sat in on the meeting.""]","[""work"",""meetings""]",sit_in_on__observe,false,false
sit out,to not participate,"[""She sat out the game."",""He sat out of the project.""]","[""work"",""daily""]",sit_out__not_participate,false,false
sit out of,to skip,"[""She sat out of the game."",""He sat out of the project.""]","[""work"",""daily""]",sit_out_of__skip,false,false
sleep in,to wake late,"[""They slept in on Sunday."",""He slept in after a long night.""]","[""daily""]",sleep_in__late,false,false
sleep on,to delay decision,"[""Let’s sleep on it."",""He slept on the offer.""]","[""work"",""projects""]",sleep_on__delay,false,false
slip away,to leave quietly,"[""She slipped away unnoticed."",""He slipped away from the party.""]","[""daily""]",slip_away__quiet,false,false
slip into,to gradually enter,"[""He slipped into sleep."",""She slipped into depression.""]","[""daily""]",slip_into__enter,false,false
slip out of,to avoid,"[""He slipped out of the meeting."",""She slipped out of her duties.""]","[""work"",""daily""]",slip_out_of__avoid,false,false
slow down,to reduce speed,"[""He slowed down at the corner."",""They slowed down the pace of work.""]","[""work"",""daily""]",slow_down__reduce,false,false
snap out of,to recover quickly,"[""He snapped out of his bad mood."",""She snapped out of daydreaming.""]","[""daily""]",snap_out_of__recover,false,false
snap up,to seize quickly,"[""Tickets were snapped up."",""She snapped up the bargain.""]","[""daily""]",snap_up__seize,true,false
sort out,to organize / resolve,"[""They sorted out the issue."",""She sorted out the files.""]","[""work"",""projects""]",sort_out__resolve,true,false
speak for,to represent,"[""He spoke for the group."",""She spoke for her team.""]","[""work"",""meetings""]",speak_for__represent,false,false
speak of,to mention,"[""She spoke of her plans."",""He spoke of the challenges.""]","[""work"",""daily""]",speak_of__mention,false,false
speak out,to express an opinion openly,"[""She spoke out against the policy."", ""Employees spoke out about the issue.""]","[""work"", ""meetings""]",speak_out__express,false,false
speak out against,to oppose vocally,"[""He spoke out against the law."",""They spoke out against injustice.""]","[""work"",""daily""]",speak_out_against__oppose,false,false
speak up,to express oneself clearly,"[""Please speak up during the call."", ""She spoke up about the issue.""]","[""work"", ""meetings""]",speak_up__express,false,false
speak up for,to defend,"[""She spoke up for her friend."",""He spoke up for his idea.""]","[""work"",""meetings""]",speak_up_for__defend,false,false
speed up,to accelerate,"[""They sped up the deployment."",""He needs to speed up his work.""]","[""IT"",""projects""]",speed_up__accelerate,true,false
spell out,to explain clearly,"[""Can you spell out the requirements?"",""He spelled out the plan.""]","[""work"",""projects""]",spell_out__explain,true,false
spin off,to create a separate entity,"[""They spun off a new company."",""The project was spun off.""]","[""work"",""business""]",spin_off__separate,true,false
spin up,to start a server or resource,"[""We spun up a new VM."", ""They spun up containers.""]","[""IT""]",spin_up__start,false,false
split up,to separate,"[""The band split up."",""They split up after 10 years.""]","[""daily""]",split_up__separate,false,false
spread out,to cover a wide area,"[""The files were spread out on the desk."",""The crowd spread out in the park.""]","[""daily""]",spread_out__cover,false,false
spring up,to appear suddenly,"[""New startups are springing up."",""Problems sprang up unexpectedly.""]","[""work"",""projects""]",spring_up__appear,false,false
stack up against,to compare with,"[""How does our system stack up against competitors?"",""He stacked up well against his peers.""]","[""work"",""IT""]",stack_up_against__compare,false,false
stand around,to wait idly,"[""They stood around chatting."",""We stood around waiting for the bus.""]","[""daily""]",stand_around__idle,false,false
stand aside,to let pass or withdraw,"[""She stood aside to let him through."",""He stood aside from the project.""]","[""work"",""daily""]",stand_aside__withdraw,false,false
stand back,to keep distance,"[""Stand back from the fire."",""He stood back to let others pass.""]","[""daily""]",stand_back__distance,false,false
stand by,to support or wait,"[""We stand by our decision."",""He stood by his friend.""]","[""work"",""daily""]",stand_by__support,false,false
stand down,to resign or withdraw,"[""He stood down as chairman."",""The guard was told to stand down.""]","[""work"",""projects""]",stand_down__resign,false,false
stand for,to represent,"[""IBM stands for International Business Machines."",""This stands for equality.""]","[""work"",""daily""]",stand_for__represent,false,false
stand in for,to substitute,"[""He stood in for his colleague."",""She stood in for the teacher.""]","[""work"",""career""]",stand_in_for__substitute,false,false
stand out,to be noticeable,"[""Her talent stands out."",""The error message stood out in red.""]","[""work"",""daily""]",stand_out__notice,false,false
stand up for,to defend,"[""He stood up for his colleague."",""They stood up for their rights.""]","[""work"",""daily""]",stand_up_for__defend,false,false
stand up to,to resist,"[""He stood up to the manager."",""She stood up to criticism.""]","[""work"",""daily""]",stand_up_to__resist,false,false
start off,to begin,"[""He started off with a joke."",""The project started off well.""]","[""work"",""projects""]",start_off__begin,false,false
start out,to begin career,"[""She started out as a teacher."",""He started out in sales.""]","[""work"",""career""]",start_out__career,false,false
start over,to begin again,"[""They started over after the failure."",""He started over in a new city.""]","[""work"",""projects""]",start_over__again,false,false
stay away from,to avoid,"[""Stay away from the restricted folder."",""He stayed away from trouble.""]","[""work"",""daily""]",stay_away_from__avoid,false,false
stay in,to remain indoors,"[""We stayed in all weekend."",""She stayed in to work.""]","[""daily""]",stay_in__remain,false,false
stay out of,to not get involved,"[""Stay out of this argument."",""He stayed out of office politics.""]","[""work"",""daily""]",stay_out_of__not_involved,false,false
stay up,to remain awake,"[""He stayed up late coding."",""She stayed up all night.""]","[""daily""]",stay_up__awake,false,false
step aside,to move so someone can pass or resign,"[""He stepped aside for the new manager."",""She stepped aside to let him through.""]","[""work"",""daily""]",step_aside__resign,false,false
step back,to move away or reconsider,"[""Let's step back and see the bigger picture."", ""He stepped back from his role.""]","[""work"", ""projects""]",step_back__reconsider,false,false
step down,to resign,"[""He stepped down as CEO."", ""The manager stepped down.""]","[""work"", ""daily""]",step_down__resign,false,false
step in,to get involved,"[""The manager stepped in to resolve the conflict."", ""I had to step in and help.""]","[""work"", ""meetings""]",step_in__intervene,false,false
step up,to increase effort,"[""He stepped up his game."",""The company stepped up hiring.""]","[""work"",""projects""]",step_up__increase,true,false
step up,to take responsibility / action,"[""He stepped up when the team needed him."",""She stepped up to lead the project.""]","[""work"",""projects""]",step_up__responsibility,false,false
stick around,to stay nearby,"[""Stick around for the Q&A."",""He stuck around after the meeting.""]","[""work"",""daily""]",stick_around__stay,false,false
stick out,to be noticeable,"[""His tie stuck out in the meeting."",""She stuck out in the crowd.""]","[""work"",""daily""]",stick_out__notice,false,false
stick to,to follow / adhere,"[""Stick to the plan."",""He sticks to his values.""]","[""work"",""projects""]",stick_to__follow,false,false
stick up for,to defend,"[""She stuck up for her friend."",""He stuck up for the junior team.""]","[""work"",""daily""]",stick_up_for__defend,false,false
stock up on,to collect supplies,"[""They stocked up on food."",""He stocked up on paper.""]","[""daily""]",stock_up_on__supplies,false,false
stumble upon,to discover by chance,"[""She stumbled upon a hidden café."",""He stumbled upon an old file.""]","[""daily""]",stumble_upon__discover,false,false
sum up,to summarize,"[""He summed up the results."",""She summed up the meeting.""]","[""work"",""meetings""]",sum_up__summarize,true,false
swear by,to strongly trust,"[""She swears by meditation."",""He swears by this tool.""]","[""daily""]",swear_by__trust,false,false
switch off,to stop focusing or power down,"[""Switch off the server."",""He switched off after work.""]","[""IT"",""daily""]",switch_off__stop,true,false
switch on,to activate,"[""Switch on the lights."",""She switched on her laptop.""]","[""IT"",""daily""]",switch_on__activate,true,false
switch over,to change from one to another,"[""We switched over to a new provider."", ""They switched over the system.""]","[""IT"", ""projects""]",switch_over__change,false,false
take after,to resemble,"[""She takes after her mother."",""He takes after his father.""]","[""daily""]",take_after__resemble,false,false
